male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
1,37,9,0,2,1,1,1,0,0.5,1,0,0
0,20,9,0,8,NA,NA,0,0,0.75,0.5,NA,NA
1,62,10,0,8,1,1,0,0,1,0.5,0,0
1,26,13,0,6,NA,0,0,0,0.5,0,NA,1
0,45,12,0,5,NA,NA,1,0,1,1,NA,NA
1,50,9,0,7,0,0,0,0,1,1,1,1
0,21,9,1,5,NA,NA,0,0,0.5,0.5,NA,NA
1,52,9,0,7,0,NA,0,0,0.5,1,1,NA
1,56,15,0,0,1,1,0,0,0.25,1,0,0
1,63,9,0,5,1,1,1,0,0.5,1,0,0
0,85,10,0,0,1,NA,1,0,0.5,1,0,NA
0,33,11,0,NA,NA,NA,0,0,0.25,1,NA,NA
1,26,10,0,6,0,0,0,0,0.75,1,1,1
0,80,9,0,NA,NA,NA,0,0,1,0.5,NA,NA
1,56,9,0,6,0,NA,1,0,1,1,1,NA
1,68,15,0,8,0,0,1,0,0.5,1,1,1
0,46,13,0,9,0,0,0,0,0.25,0,1,1
0,42,9,0,8,NA,1,0,0,0,1,NA,0
1,51,11,0,1,1,1,1,0,0.5,1,0,0
1,20,9,0,10,NA,0,0,0,1,1,NA,1
1,36,13,0,7,0,0,0,0,0.5,0.5,1,1
0,28,9,0,7,NA,NA,0,0,0.75,1,NA,NA
0,47,11,0,7,0,NA,0,0,1,1,1,NA
1,47,16,0,4,1,1,0,0,0.25,0.5,0,0
1,37,12,0,5,NA,NA,0,0,1,1,NA,NA
1,51,13,1,5,1,0,0,0,0.5,1,0,1
0,68,16,0,2,1,1,1,0,0,1,0,0
0,37,10,0,10,0,0,1,0,0.75,1,1,1
0,53,6,0,10,1,1,0,0,0.75,1,0,0
0,32,13,0,NA,1,1,0,0,0.5,0.5,0,0
1,53,8,0,10,1,NA,0,0,0.5,1,0,NA
1,67,14,0,4,1,1,1,0,0.5,1,0,0
0,65,11,0,1,1,1,0,0,0.25,1,0,0
1,NA,14,0,7,NA,0,0,0,1,0.5,NA,1
1,83,13,0,7,0,0,0,0,0.75,0.5,1,1
